customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,risk_churn,risk_churn %,risk_churn - per cent,risk_quartile
8769-KKTPH,Female,0,1,1,63,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Credit card (automatic),99.65,6311.2,0,4.186875316527784,2.9877455894184695,2.9877455894184695,Q1
0756-MPZRL,Male,0,0,0,46,0,No phone service,DSL,No,No,Yes,Yes,No,No,One year,0,Credit card (automatic),33.7,1537.85,0,20.845055384566933,2.9845727125765507,2.9845727125765507,Q1
6194-HBGQN,Male,0,0,0,51,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,1,Credit card (automatic),81.15,4126.2,0,5.8664551893192804,2.9824530357161696,2.9824530357161696,Q1
6837-HAEVO,Male,0,1,1,69,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,105.0,7297.75,0,1.210206128211662,2.9783936390561356,2.9783936390561356,Q1
1371-WEPDS,Male,1,1,0,40,1,No,DSL,No,No,No,No,No,Yes,One year,0,Electronic check,55.8,2283.3,0,9.233305960664016,2.970038862470205,2.970038862470205,Q1
4393-OBCRR,Female,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.25,71.2,0,2.970038862470205,2.95768718408418,2.95768718408418,Q1
8082-GHXOP,Male,0,0,1,13,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,44.0,659.35,0,58.38778262196469,2.955545434222619,2.955545434222619,Q1
6185-TASNN,Male,1,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,46.3,46.3,0,1.9528638013941704,2.9467323827657634,2.9467323827657634,Q1
5652-MSDEY,Female,0,0,0,10,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,75.75,777.3,0,39.26188098511648,2.9462515865012096,2.9462515865012096,Q1
2018-PZKMU,Male,0,1,1,9,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,103.1,970.45,0,2.689714002672941,2.9400639313063923,2.9400639313063923,Q1
