customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,risk_churn,risk_churn %,risk_churn - per cent,risk_quartile
8857-CUPFQ,Male,0,1,0,63,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.25,1237.65,0,16.757981323579045,10.873746697605336,10.873746697605336,Q2
2969-WGHQO,Female,0,1,1,7,1,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,0,Electronic check,69.45,477.05,0,11.446207543851386,10.869054721582168,10.869054721582168,Q2
3466-BYAVD,Male,0,1,1,15,1,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,1,Mailed check,69.5,1071.4,0,63.98904977508153,10.86752301770556,10.86752301770556,Q2
1657-DYMBM,Male,0,1,0,53,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.9,1110.05,0,1.0123564884689118,10.849080830557542,10.849080830557542,Q2
9150-HEPMB,Male,0,0,0,56,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,52.7,3019.7,0,1.4133261490398652,10.835986510390043,10.835986510390043,Q2
8317-BVKSO,Male,0,0,0,14,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.05,299.3,0,35.41299565159353,10.828729490158901,10.828729490158901,Q2
8631-WUXGY,Female,0,0,1,46,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.8,4391.25,0,7.260838420848918,10.819800451337635,10.819800451337635,Q2
2877-VDUER,Female,0,1,1,35,0,No phone service,DSL,No,No,No,Yes,Yes,No,One year,0,Mailed check,40.9,1383.6,0,1.1927437314683709,10.808635681706189,10.808635681706189,Q2
9643-YBLUR,Male,0,1,0,9,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Credit card (automatic),69.05,653.95,0,0.31122035429597616,10.807517452888456,10.807517452888456,Q2
0292-WEGCH,Female,0,1,1,54,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,86.2,4524.05,0,5.61379243635034,10.80722006806825,10.80722006806825,Q2
