customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,risk_churn,risk_churn %,risk_churn - per cent,risk_quartile
1093-YSWCA,Male,0,0,0,11,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.55,223.15,0,13.522549624016117,83.75773773736846,83.75773773736846,Q4
4717-GHADL,Female,0,0,0,50,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Mailed check,79.6,4024.2,0,12.238853767955959,81.28469447127195,81.28469447127195,Q4
0455-ENTCR,Male,0,1,0,66,1,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,0,Electronic check,85.25,5538.35,0,7.703856454522345,79.34558632295428,79.34558632295428,Q4
2049-BAFNW,Female,0,0,0,1,0,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Mailed check,35.9,35.9,0,4.885896145503263,79.19787170248212,79.19787170248212,Q4
4622-YNKIJ,Male,0,0,0,33,1,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,1,Electronic check,88.95,3027.65,0,3.6075389032449294,79.07133208681654,79.07133208681654,Q4
8316-BBQAY,Female,0,0,0,65,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),59.95,3921.1,0,62.053997390527826,78.93307495245043,78.93307495245043,Q4
4198-VFOEA,Female,0,0,0,12,0,No phone service,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,33.6,435.45,0,44.378084449357466,78.76226984708222,78.76226984708222,Q4
2108-GLPQB,Male,0,1,0,25,1,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,0,Credit card (automatic),55.55,1405.3,0,7.004434892509639,78.44066824080438,78.44066824080438,Q4
8883-GRDWQ,Male,1,0,0,20,1,No,DSL,Yes,No,No,Yes,No,No,One year,0,Mailed check,54.0,1055.9,0,60.200125999980095,78.21502339637166,78.21502339637166,Q4
2308-STERM,Female,0,0,0,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.4,61.05,0,3.296298141630632,78.06512764119306,78.06512764119306,Q4
9786-YWNHU,Female,0,1,1,63,1,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Mailed check,63.55,4014.2,0,3.09299212631972,78.01169535590377,78.01169535590377,Q4
6743-HHQPF,Male,0,1,0,42,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),25.1,1097.15,0,29.25911272020743,77.90006792362945,77.90006792362945,Q4
4184-VODJZ,Male,0,1,1,63,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,1,Electronic check,91.35,5764.7,0,8.111653822539946,77.73062519998963,77.73062519998963,Q4
8644-XYTSV,Male,0,1,0,42,0,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),40.15,1626.05,0,60.49474675332862,77.60396647310557,77.60396647310557,Q4
5158-RIVOP,Female,0,1,1,11,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.9,202.3,0,2.4372170616044477,76.89526147339663,76.89526147339663,Q4
9711-FJTBX,Male,0,1,1,56,1,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,1,Mailed check,85.85,4793.8,0,26.375098117642278,76.67554619041745,76.67554619041745,Q4
5286-YHCVC,Male,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),104.8,7470.1,0,7.1299549619309985,76.5539787880552,76.5539787880552,Q4
8445-DNBAE,Male,0,0,1,1,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,50.05,50.05,0,9.352647463265594,76.1528186415048,76.1528186415048,Q4
4950-HKQTE,Female,0,0,0,22,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,26.25,605.9,0,19.775890551569226,75.58949295570864,75.58949295570864,Q4
2211-RMNHO,Female,0,1,1,68,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),85.3,5560.0,0,0.7070215072626945,75.46670756957579,75.46670756957579,Q4
6635-CPNUN,Male,0,1,0,28,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Credit card (automatic),96.6,2684.35,0,18.962179725663358,75.08198010218892,75.08198010218892,Q4
3090-QFUVD,Female,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.3,20.3,0,20.931227842741656,74.97439131462428,74.97439131462428,Q4
8200-KLNYW,Female,0,1,0,21,1,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Mailed check,80.9,1714.95,0,7.467381623279615,74.68045249676084,74.68045249676084,Q4
9031-ZVQPT,Male,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,108.2,7840.6,0,11.207775135624534,74.3866263351489,74.3866263351489,Q4
4840-ORQXB,Female,1,0,0,56,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,104.75,5841.35,0,33.2301034389837,74.30236802049185,74.30236802049185,Q4
7244-KXYZN,Female,0,0,0,24,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),20.45,527.35,0,0.4343320256927963,74.13689013491391,74.13689013491391,Q4
2452-KDRRH,Male,1,0,0,67,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),101.4,6841.05,0,7.494850339850282,74.12563599579379,74.12563599579379,Q4
8174-LNWMW,Female,0,0,0,31,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.9,689.35,0,4.796871962496531,73.87543505168333,73.87543505168333,Q4
5832-TRLPB,Male,0,0,0,29,1,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),75.35,2243.9,0,1.7550758909738,73.84995658750684,73.84995658750684,Q4
1299-AURJA,Female,0,1,1,70,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),24.7,1685.9,0,2.078410621359119,73.8008493060855,73.8008493060855,Q4
2823-LKABH,Female,0,0,0,18,1,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),95.05,1679.4,0,56.873545118943646,73.79554621970514,73.79554621970514,Q4
9753-OYLBX,Female,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.5,20.5,0,2.126545144196375,73.74769395946726,73.74769395946726,Q4
0343-QLUZP,Male,0,0,0,60,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),39.6,2424.5,0,29.266194414451828,73.74613855772324,73.74613855772324,Q4
3774-VBNXY,Female,0,1,1,64,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.2,1277.75,0,20.893652677514556,73.608091888958,73.608091888958,Q4
3727-OVPRY,Male,0,1,1,66,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.7,1714.55,0,2.852712062634091,73.45391436886375,73.45391436886375,Q4
4544-RXFMG,Male,0,1,1,8,1,No,DSL,No,No,No,No,No,No,One year,1,Mailed check,43.45,345.5,0,2.748579532195801,73.45112790626136,73.45112790626136,Q4
9046-DQMTP,Male,0,0,0,35,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.75,739.9,0,20.172167533305064,73.30969404896858,73.30969404896858,Q4
3170-NMYVV,Female,0,1,1,50,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,930.9,0,9.445998378718482,73.18233582797703,73.18233582797703,Q4
7817-OMJNA,Male,0,0,0,14,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.4,275.7,0,32.00199832156251,73.18172694899283,73.18172694899283,Q4
6538-POCHL,Male,0,0,0,33,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),79.0,2576.8,0,13.98173955698829,73.14849604657786,73.14849604657786,Q4
2696-ECXKC,Female,0,1,1,55,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,0,Mailed check,100.9,5448.6,0,24.1311790876305,73.13962159305397,73.13962159305397,Q4
0384-RVBPI,Male,0,0,0,20,1,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,0,Credit card (automatic),64.4,1398.6,0,75.08198010218892,73.12524823068985,73.12524823068985,Q4
6174-NRBTZ,Male,0,0,0,46,0,No phone service,DSL,Yes,No,No,No,No,No,One year,1,Bank transfer (automatic),30.75,1489.3,0,0.37943381967879386,73.00278626599773,73.00278626599773,Q4
5141-ZUVBH,Female,0,0,1,9,1,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,0,Bank transfer (automatic),93.0,870.25,0,1.360413196572232,72.97617748076479,72.97617748076479,Q4
6345-FZOQH,Male,0,1,0,69,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.9,1363.45,0,41.513709462809054,72.91317357885104,72.91317357885104,Q4
7502-BNYGS,Female,0,1,0,46,1,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),69.1,3168.0,0,4.647939587614795,72.90062227829502,72.90062227829502,Q4
8917-SZTTJ,Male,0,1,1,60,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.65,1161.75,0,10.000460546214503,72.7849973635264,72.7849973635264,Q4
9585-KKMFD,Male,0,1,1,41,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.0,879.8,0,6.90578083780338,72.69076344925945,72.69076344925945,Q4
2883-ILGWO,Male,1,0,0,57,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),104.9,5913.95,0,6.759821197086738,72.58422981378605,72.58422981378605,Q4
0218-QNVAS,Male,0,1,1,71,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,0,Bank transfer (automatic),100.55,7113.75,0,69.07450763783493,72.52473040714682,72.52473040714682,Q4
9073-ZZIAY,Male,0,1,1,62,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,86.1,5215.25,0,55.05736345131736,72.5131658410926,72.5131658410926,Q4
1122-YJBCS,Male,0,1,0,69,1,No,DSL,Yes,Yes,No,No,No,No,One year,1,Credit card (automatic),53.65,3804.4,0,0.25654276553891225,72.50160531710935,72.50160531710935,Q4
3712-PKXZA,Male,0,1,0,61,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.55,1252.0,0,10.915213656936414,72.36625532774237,72.36625532774237,Q4
7872-BAAZR,Female,0,1,1,53,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.55,1007.9,0,44.093923041316536,72.34465006864141,72.34465006864141,Q4
5438-QMDDL,Female,0,1,0,19,1,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,1,Mailed check,59.8,1130.85,0,45.51779781463569,72.2971346805751,72.2971346805751,Q4
9507-HSMMZ,Male,0,0,0,54,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.0,1149.65,0,8.392623408699853,72.27619641905129,72.27619641905129,Q4
5656-JAMLX,Male,0,0,0,62,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.85,1253.65,0,1.0607419570222396,72.15873048268969,72.15873048268969,Q4
9450-TRJUU,Male,0,0,0,35,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,83.15,2848.45,0,19.331585590212974,72.01156010400129,72.01156010400129,Q4
8999-EXMNO,Female,0,1,1,19,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.15,387.7,0,3.060474501445759,71.97851445482121,71.97851445482121,Q4
5701-ZIKJE,Male,0,0,0,13,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,1,Mailed check,50.55,610.75,0,11.494550783534725,71.9355339566221,71.9355339566221,Q4
5989-AXPUC,Female,0,1,0,68,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,118.6,7990.05,0,5.63253001753833,71.60572569514379,71.60572569514379,Q4
2812-REYAT,Female,0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.05,923.1,0,7.995725085092942,71.5373131748154,71.5373131748154,Q4
8967-SZQAS,Female,0,0,0,14,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,50.45,765.45,0,3.3048791956102663,71.53490189418625,71.53490189418625,Q4
8017-UVSZU,Female,0,1,0,40,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,0,Credit card (automatic),56.6,2379.1,0,56.357734683683155,71.50637296228484,71.50637296228484,Q4
5709-LVOEQ,Female,0,1,1,0,1,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Mailed check,80.85,,0,10.707129560751897,71.41692805837694,71.41692805837694,Q4
0979-MOZQI,Male,0,1,0,62,0,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,1,Bank transfer (automatic),39.0,2337.45,0,10.31280947185845,71.40275716825363,71.40275716825363,Q4
6284-KMNUF,Female,0,1,0,56,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Electronic check,98.0,5270.6,0,1.20895262424684,71.39772791058377,71.39772791058377,Q4
5032-USPKF,Female,0,0,0,38,1,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,0,Bank transfer (automatic),84.1,3187.65,0,4.713013670460804,71.372302158095,71.372302158095,Q4
3039-MJSLN,Male,0,0,1,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,50.6,0,7.984724448698528,71.23042401710762,71.23042401710762,Q4
8992-OBVDG,Male,0,0,0,21,1,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,0,Mailed check,61.65,1393.6,0,6.416541944185465,71.17951406783327,71.17951406783327,Q4
2254-DLXRI,Female,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,79.15,79.15,0,3.958817375957545,71.09624232657012,71.09624232657012,Q4
7005-CYUIL,Female,1,1,0,71,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Electronic check,99.4,7168.25,0,1.6380205732101072,71.05947273314628,71.05947273314628,Q4
7622-FWGEW,Male,1,1,0,56,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),85.65,4824.45,0,2.0732297215979503,71.00884123560579,71.00884123560579,Q4
2812-SFXMJ,Male,0,0,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,20.05,0,1.4983757383007301,70.80580237965171,70.80580237965171,Q4
7663-ZTEGJ,Male,0,0,1,29,1,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,0,Credit card (automatic),100.55,2830.45,0,0.5681975257143028,70.72095915023571,70.72095915023571,Q4
5846-ABOBJ,Male,0,1,0,71,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),24.45,1730.65,0,42.54288777987231,70.55399312621398,70.55399312621398,Q4
0114-IGABW,Female,0,1,0,71,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),58.25,4145.9,0,8.519999738981284,70.42871285272223,70.42871285272223,Q4
2428-ZMCTB,Male,0,0,0,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),19.75,208.25,0,38.22031462984246,70.427646592754,70.427646592754,Q4
9586-JGQKH,Female,0,1,0,64,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),105.4,6794.75,0,3.4427175189992263,70.35889859216941,70.35889859216941,Q4
8375-KVTHK,Male,0,1,0,68,1,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Electronic check,100.3,6754.35,0,61.056454710522054,70.3572557569235,70.3572557569235,Q4
9626-WEQRM,Female,0,0,0,4,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,29.15,110.05,0,4.518921452715506,70.30228600765923,70.30228600765923,Q4
6878-GGDWG,Female,0,1,0,32,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.4,641.15,0,22.371584374726083,70.27052382186638,70.27052382186638,Q4
8597-CWYHH,Male,0,0,0,43,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Mailed check,94.35,3921.3,0,24.872648549729607,70.17193255497406,70.17193255497406,Q4
2853-CWQFQ,Male,0,0,1,1,1,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,1,Mailed check,59.55,59.55,0,55.00101568856102,70.16866706347186,70.16866706347186,Q4
8577-QSOCG,Female,0,1,1,38,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.2,746.05,0,12.327287373136334,69.97717774627169,69.97717774627169,Q4
7552-KEYGT,Male,0,1,0,27,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.55,520.55,0,0.660582114562711,69.96367736521827,69.96367736521827,Q4
5605-IYGFG,Female,0,0,0,7,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),69.85,515.45,0,25.26280922217562,69.94519869603148,69.94519869603148,Q4
8215-NGSPE,Female,0,1,1,42,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.0,833.55,0,3.0158790345033335,69.92886008147974,69.92886008147974,Q4
8605-ITULD,Female,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.55,19.55,0,41.14418688192442,69.82979555344687,69.82979555344687,Q4
9142-KZXOP,Male,0,0,0,44,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),68.85,2958.95,0,3.3471597018118695,69.67891708655272,69.67891708655272,Q4
2120-SMPEX,Male,0,0,0,25,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.15,536.35,0,26.015792676314586,69.62147571331889,69.62147571331889,Q4
1215-FIGMP,Male,0,0,0,60,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,8.472214726252282,69.53933084205819,69.53933084205819,Q4
8033-ATFAS,Female,0,1,1,39,1,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,1,Mailed check,59.85,2341.5,0,1.0572136553267586,69.49953250630149,69.49953250630149,Q4
6322-HRPFA,Male,0,1,1,49,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,27.49966814745557,69.47378722063189,69.47378722063189,Q4
6885-PKOAM,Female,0,1,0,71,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),85.75,6223.8,0,6.690158559635287,69.45889770434134,69.45889770434134,Q4
9558-IHEZX,Female,0,0,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),106.75,7283.25,0,12.808484274039431,69.39635192303952,69.39635192303952,Q4
2753-JMMCV,Male,0,0,0,65,1,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),74.2,4805.65,0,15.464038871748887,69.35388159941154,69.35388159941154,Q4
8434-VGEQQ,Male,0,1,1,61,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.55,1305.95,0,3.5614759783179113,69.2878458761081,69.2878458761081,Q4
5309-TAIKL,Female,0,0,0,7,1,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,0,Bank transfer (automatic),62.8,418.3,0,5.505649887616361,69.26626135371988,69.26626135371988,Q4
6137-NICCO,Female,0,1,1,6,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Mailed check,94.05,518.75,0,31.786864462256435,69.24673485746521,69.24673485746521,Q4
2545-LXYVJ,Male,0,1,0,72,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.7,1492.1,0,10.807517452888456,69.07450763783493,69.07450763783493,Q4
2621-UDNLU,Female,0,1,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.85,72.0,0,3.468400695140813,68.9944969339188,68.9944969339188,Q4
6896-SRVYQ,Male,1,0,0,44,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Electronic check,73.85,3122.4,0,9.885988039525182,68.98625422141944,68.98625422141944,Q4
6048-QBXKL,Female,1,0,0,2,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),56.55,118.25,0,12.364946404728736,68.9490378517881,68.9490378517881,Q4
1035-IPQPU,Female,1,1,0,63,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,103.5,6479.4,0,2.330848094753912,68.84840004861708,68.84840004861708,Q4
8985-OOPOS,Female,0,0,0,1,1,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),74.1,74.1,0,9.394933881487862,68.74323947667597,68.74323947667597,Q4
0485-ZBSLN,Male,0,1,1,65,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.75,1715.1,0,3.222337255500108,68.7285716418488,68.7285716418488,Q4
3027-YNWZU,Female,0,1,0,64,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.0,1584.8,0,4.765560616910338,68.63007400264817,68.63007400264817,Q4
1335-HQMKX,Female,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,101.35,7323.15,0,57.13298783441905,68.62947506264526,68.62947506264526,Q4
6370-ZVHDV,Female,0,1,0,61,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.3,1554.9,0,1.3991933319065342,68.61744537493857,68.61744537493857,Q4
4226-KKDON,Male,0,0,0,8,1,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,66.65,520.95,0,20.55734884108642,68.56442271091396,68.56442271091396,Q4
5702-SKUOB,Female,0,1,0,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.6,93.45,0,2.493250059716704,68.5616959526954,68.5616959526954,Q4
3936-QQFLL,Male,0,0,0,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,39.3,0,21.807178420429047,68.47409490920823,68.47409490920823,Q4
5760-WRAHC,Female,1,0,0,22,1,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,1,Mailed check,69.75,1545.4,0,67.64083519729206,68.37042237339037,68.37042237339037,Q4
6368-NWMCE,Female,0,0,0,38,1,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,0,Credit card (automatic),68.15,2656.3,0,6.220088691782858,68.22543737473711,68.22543737473711,Q4
2834-JKOOW,Female,0,0,0,15,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,45.9,693.45,0,30.304503789197522,68.1626688817856,68.1626688817856,Q4
1803-BGNBD,Female,0,0,0,12,1,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,54.3,654.5,0,61.95161756074863,68.07187230574345,68.07187230574345,Q4
6036-TTFYU,Female,0,1,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.6,314.45,0,71.41692805837694,68.04592614430342,68.04592614430342,Q4
1971-DTCZB,Female,0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),90.95,6468.6,0,1.5473047340052957,67.91664917305744,67.91664917305744,Q4
1257-SXUXQ,Male,0,1,1,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.45,86.05,0,31.43205884109993,67.91536472700655,67.91536472700655,Q4
9441-QHEVC,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.1,19.1,0,23.445892460882547,67.88402461929633,67.88402461929633,Q4
4531-AUZNK,Female,0,1,1,51,1,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,1,Mailed check,95.15,5000.05,0,9.92776032955859,67.79614184820176,67.79614184820176,Q4
0678-RLHVP,Female,0,0,0,53,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,0,Electronic check,105.55,5682.25,0,9.728874371611454,67.70709179544828,67.70709179544828,Q4
7243-LCGGZ,Female,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.9,20.9,0,1.8802748364549218,67.70023735267618,67.70023735267618,Q4
3644-QXEHN,Male,0,1,1,13,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,97.0,1334.45,0,21.576500485244186,67.64083519729206,67.64083519729206,Q4
1200-TUZHR,Female,1,0,0,8,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,85.2,695.75,0,38.864482268204654,67.55228635091257,67.55228635091257,Q4
5989-OMNJE,Female,0,1,1,24,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,57.6,1367.75,0,18.580548068495734,67.50997133010449,67.50997133010449,Q4
5144-PQCDZ,Male,0,0,0,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.95,59.25,0,19.70156523599921,67.45568936535207,67.45568936535207,Q4
3724-BSCVH,Male,0,1,1,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.45,242.4,0,0.7154515641440764,67.33241720471092,67.33241720471092,Q4
