gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,risk_churn_percent,risk_quartile
Male,0,0,0,20,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,88.7,1761.45,37.93077036472244,Q3
Male,0,1,1,53,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,105.25,5576.3,37.885853033852754,Q3
Male,1,0,0,8,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,572.85,37.66835689064653,Q3
Male,0,0,0,3,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,0,Electronic check,90.4,268.45,37.61809140037881,Q3
Female,0,1,0,13,0,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),48.75,633.4,37.59043527830016,Q3
Male,0,0,0,10,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Mailed check,33.9,298.45,37.55059981409923,Q3
Male,1,1,0,37,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),72.25,2575.45,37.47175484695839,Q3
Male,0,1,1,18,1,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,1,Mailed check,87.9,1500.5,37.3507358401715,Q3
Male,0,0,0,31,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,81.15,2640.55,37.329269134778386,Q3
Female,0,0,0,5,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Mailed check,75.65,399.45,37.14015178512585,Q3
Male,0,0,0,14,0,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,50.75,712.75,36.95836261076163,Q3
Female,0,0,0,41,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,1,Electronic check,106.5,4282.4,36.85812594837623,Q3
Female,0,0,0,24,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,1,Electronic check,84.35,1938.05,36.822902327150246,Q3
Female,0,0,0,34,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.1,3634.8,36.82093428420876,Q3
Male,0,0,1,12,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),73.75,871.4,36.74798300634796,Q3
Male,0,0,1,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,24.2,24.2,36.71837020391606,Q3
Male,0,1,0,45,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),107.75,4882.8,36.56088038467377,Q3
Female,0,1,1,3,0,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,1,Mailed check,31.0,95.05,36.543192555063364,Q3
Female,0,0,0,3,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,25.25,58.9,36.50573331355857,Q3
Female,0,1,0,10,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Credit card (automatic),78.15,765.15,36.465797474689424,Q3
Male,1,0,0,65,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Electronic check,110.35,7246.15,36.4240045072287,Q3
Male,1,0,0,37,0,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Electronic check,36.65,1315.0,36.39698522239189,Q3
Male,1,1,0,13,1,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),89.05,1169.35,36.151253273503755,Q3
Female,0,1,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,21.0,21.0,36.01971658893691,Q3
Female,0,1,0,60,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.8,5985.75,35.924109547303594,Q3
Male,0,1,0,3,0,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,29.9,92.25,35.79803661262978,Q3
Male,0,0,0,4,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,0,Electronic check,90.65,367.95,35.41116459119779,Q3
Female,1,1,0,13,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.15,916.75,35.17934798572717,Q3
Female,0,1,0,58,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),109.1,6393.65,35.162270460625976,Q3
Female,0,1,0,24,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Mailed check,79.65,1928.7,35.06322234649319,Q3
Male,1,0,0,52,0,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,49.15,2550.9,35.05331445528238,Q3
Male,0,0,0,13,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,80.85,1008.7,35.01500005700225,Q3
Female,1,1,0,34,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,94.25,3217.55,34.99476209380356,Q3
Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,20.05,34.810738092149876,Q3
