gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,risk_churn_percent,risk_quartile
Male,0,0,0,2,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,24.85,62.0,15.14222217343363,Q2
Male,0,1,1,32,1,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,1,Electronic check,90.8,3023.85,15.141274709893327,Q2
Male,0,1,1,70,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,106.05,7554.05,15.118322399736838,Q2
Female,0,1,0,46,1,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),69.1,3168.0,15.112817693127475,Q2
Female,0,0,0,10,1,No,DSL,No,Yes,No,Yes,No,Yes,One year,0,Mailed check,64.9,685.55,14.973849063737982,Q2
Female,0,1,0,54,1,Yes,DSL,No,No,No,No,Yes,Yes,One year,1,Credit card (automatic),70.15,3715.65,14.967745273183503,Q2
Male,1,0,0,55,0,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),50.05,2743.45,14.941043147596481,Q2
Male,0,0,0,8,1,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,66.65,520.95,14.88986055979254,Q2
Male,0,0,0,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),19.75,208.25,14.889745152018108,Q2
Male,0,0,1,62,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Electronic check,104.05,6590.5,14.868612196005229,Q2
Female,0,1,1,33,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),24.25,838.5,14.800669374311603,Q2
