gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,risk_churn_percent,risk_quartile
Female,1,1,0,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.55,1131.2,83.25991106987065,Q4
Female,1,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.05,85.05,82.4873841421327,Q4
Female,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,79.15,79.15,82.32012699588493,Q4
Female,0,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,77.15,77.15,82.24932338406163,Q4
Male,1,1,0,7,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.25,665.45,82.1895417555585,Q4
Male,1,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.45,76.45,82.11784416983775,Q4
Male,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,79.15,79.15,81.98563216239936,Q4
Female,0,1,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),79.35,79.35,81.63657633949256,Q4
Female,0,0,0,5,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,93.9,486.85,81.61071792419422,Q4
Female,0,1,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,78.8,78.8,81.45201280418846,Q4
Female,0,0,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,84.6,84.6,81.2579617428456,Q4
Female,1,1,1,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.25,69.25,81.16335729208637,Q4
Male,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),90.85,90.85,81.07803112591637,Q4
Male,0,0,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.5,79.5,81.04968625351626,Q4
Female,1,0,0,1,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,85.0,85.0,80.89674881105975,Q4
Female,1,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.6,69.6,80.83334507432333,Q4
Male,0,0,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,95.45,80.74951225655637,Q4
Female,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.5,69.5,80.71466095636589,Q4
