customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,risk_churn - per cent,risk_quartile
9356-AXGMP,Male,0,1,0,38,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,110.7,4428.6,0,28.884969529659564,Q3
2692-PFYTJ,Female,0,0,0,1,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,25.75,25.75,0,28.86108227589872,Q3
1208-NBVFH,Male,0,1,1,20,1,No,DSL,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,49.6,939.8,0,28.849596773295655,Q3
9544-PYPSJ,Female,1,1,1,62,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Credit card (automatic),96.1,6019.35,0,28.808354357083132,Q3
2279-AXJJK,Male,0,1,0,52,1,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,1,Credit card (automatic),95.65,5088.4,0,28.75107277396974,Q3
2436-QBZFP,Female,0,1,1,22,0,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,39.2,849.9,0,28.742206488828113,Q3
1217-VASWC,Male,1,1,0,43,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),100.55,4304.0,0,28.683380351222652,Q3
8807-ARQET,Female,0,0,0,41,0,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,40.35,1677.85,0,28.669845021100492,Q3
1548-ARAGG,Female,0,1,1,4,1,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Mailed check,58.5,224.85,0,28.6676169722395,Q3
4012-ZTHBR,Female,0,1,1,21,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,44.95,926.25,0,28.653920539982096,Q3
1480-IVEVR,Male,1,1,0,35,1,Yes,Fiber optic,No,No,Yes,No,No,No,One year,1,Bank transfer (automatic),81.6,2815.25,0,28.63695206367242,Q3
4080-IIARD,Female,0,1,0,13,1,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,76.2,981.45,0,28.635816545488634,Q3
3062-ICYZQ,Female,0,1,1,51,1,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,93.8,4539.35,0,28.630137041006247,Q3
6954-OOYZZ,Male,0,1,0,18,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),44.35,768.05,0,28.627496992909542,Q3
0060-FUALY,Female,0,1,0,59,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,94.75,5597.65,0,28.60610170703324,Q3
7047-FWEYA,Female,0,1,0,46,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Electronic check,103.15,4594.65,0,28.57587180239094,Q3
2267-WTPYD,Female,1,1,0,57,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,0,Credit card (automatic),94.0,5438.95,0,28.56330208682236,Q3
5651-CPDND,Male,0,0,0,10,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,46.0,492.1,0,28.516458332673217,Q3
0100-DUVFC,Male,1,1,0,70,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,104.8,7308.95,0,28.50661037130789,Q3
2927-QRRQV,Male,0,1,0,46,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Electronic check,94.65,4312.5,0,28.429207265373968,Q3
5780-INQIK,Female,0,0,0,8,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,49.4,408.25,0,28.42884449970753,Q3
5060-TQUQN,Male,0,1,1,30,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Bank transfer (automatic),83.55,2570.2,0,28.406305508594897,Q3
5973-EJGDP,Male,0,0,0,51,1,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,1,Electronic check,87.35,4473.0,0,28.40000710104727,Q3
0512-FLFDW,Female,1,1,0,60,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),100.5,6029.0,0,28.38070146773945,Q3
4396-KLSEH,Male,0,0,0,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,63.0,0,28.320909425221334,Q3
2172-EJXVF,Female,1,0,0,71,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,105.9,7521.95,0,28.27710928615092,Q3
2828-SLQPF,Male,0,0,0,19,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),45.0,865.85,0,28.248747448505718,Q3
7921-LMDFQ,Male,1,0,0,51,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),94.0,4905.75,0,28.222610507589874,Q3
3345-JHUEO,Male,0,0,0,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.2,55.7,0,28.222499173948723,Q3
0691-NIKRI,Female,0,0,0,40,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),105.95,4335.2,0,28.175912591575248,Q3
