customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,risk_churn - per cent,risk_quartile
8510-BBWMU,Female,0,0,0,41,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.75,806.95,0,2.9877455894184695,Q1
9251-WNSOD,Female,0,1,0,67,1,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,0,Mailed check,75.1,5064.45,0,2.9845727125765507,Q1
3525-DVKFN,Female,0,0,0,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.4,358.05,0,2.9824530357161696,Q1
7779-ORAEL,Male,1,1,0,45,1,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),75.15,3480.35,0,2.9783936390561356,Q1
4615-PIVVU,Female,0,0,0,42,1,No,DSL,No,No,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),66.5,2762.75,0,2.970038862470205,Q1
4560-WQAQW,Female,0,0,0,59,1,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,0,Bank transfer (automatic),68.7,4070.95,0,2.95768718408418,Q1
4163-NCJAK,Female,0,1,0,46,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),24.45,1066.15,0,2.955545434222619,Q1
6064-ZATLR,Female,0,0,0,27,1,No,DSL,Yes,Yes,No,No,No,No,Two year,0,Bank transfer (automatic),52.85,1498.65,0,2.9467323827657634,Q1
7670-ZBPOQ,Female,0,1,0,58,1,Yes,DSL,Yes,No,No,Yes,No,No,One year,1,Bank transfer (automatic),61.05,3478.75,0,2.9462515865012096,Q1
6229-UOLQL,Male,0,1,1,56,0,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,One year,1,Mailed check,52.0,2884.9,0,2.9400639313063923,Q1
5914-GXMDA,Female,0,1,0,32,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.3,593.2,0,2.9352092217505747,Q1
4750-UKWJK,Female,1,1,0,37,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.6,727.8,0,2.930303604870035,Q1
6223-DHJGV,Female,0,0,0,42,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,20.65,958.1,0,2.9253968227815057,Q1
8717-VCTXJ,Male,0,0,0,42,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.55,839.4,0,2.917756221019522,Q1
0757-WCUUZ,Male,0,1,1,54,1,Yes,DSL,No,No,Yes,No,No,Yes,Two year,0,Credit card (automatic),63.35,3409.1,0,2.9176478862230093,Q1
5442-PPTJY,Male,0,1,1,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.7,258.35,0,2.91730837942586,Q1
0078-XZMHT,Male,0,1,0,72,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),85.15,6316.2,0,2.914139490852144,Q1
2126-GSEGL,Female,0,1,0,70,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),84.8,5917.55,0,2.911127198228915,Q1
7945-HLKEA,Female,0,0,0,60,1,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,0,Electronic check,64.75,4039.5,0,2.9060622653127957,Q1
6898-RBTLU,Female,0,1,1,49,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),79.3,3902.45,0,2.904907709318839,Q1
8512-WIWYV,Male,0,0,0,32,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),20.35,707.5,0,2.9038344865173116,Q1
1051-EQPZR,Female,0,1,1,44,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.6,780.25,0,2.902588007291073,Q1
5627-TVBPP,Female,0,0,1,35,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.1,644.5,0,2.8996058750689566,Q1
4872-VXRIL,Male,0,0,0,56,1,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,1,Bank transfer (automatic),64.65,3665.55,0,2.895786258588014,Q1
3891-NLXJB,Male,0,0,0,37,0,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,1,Mailed check,40.55,1390.85,0,2.895608775051497,Q1
0853-TWRVK,Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,0,Bank transfer (automatic),105.6,7581.5,0,2.893742023139395,Q1
0743-HNPFG,Female,0,1,1,51,1,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,1,Credit card (automatic),69.75,3562.5,0,2.893354386953938,Q1
6339-RZCBJ,Male,0,0,0,48,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),78.9,3771.5,0,2.8817835835105563,Q1
