customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,risk_churn - per cent,risk_quartile
0536-ACXIP,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,109.55,8165.1,0,10.873746697605336,Q2
1877-HKBQX,Female,0,0,0,11,1,No,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,54.6,617.85,0,10.869054721582168,Q2
1984-GPTEH,Female,0,0,0,29,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,25.15,702.0,0,10.86752301770556,Q2
6603-QWSPR,Female,0,0,0,46,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),104.4,4904.2,0,10.849080830557542,Q2
4079-ULGFR,Male,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.0,275.7,0,10.835986510390043,Q2
1697-BCSHV,Female,0,1,1,58,1,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),66.8,3970.4,0,10.828729490158901,Q2
7184-LRUUR,Female,0,0,0,22,1,No,DSL,No,Yes,Yes,No,Yes,No,One year,0,Bank transfer (automatic),65.25,1441.8,0,10.819800451337635,Q2
0201-MIBOL,Female,1,0,0,66,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),102.4,6471.85,0,10.808635681706189,Q2
0218-QNVAS,Male,0,1,1,71,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,0,Bank transfer (automatic),100.55,7113.75,0,10.807517452888456,Q2
3716-LRGXK,Male,0,1,0,60,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),101.15,6067.4,0,10.80722006806825,Q2
8465-SBRXP,Male,0,1,1,38,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),94.9,3616.25,0,10.79804921539716,Q2
9848-JQJTX,Male,0,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),100.9,7459.05,0,10.792398605364333,Q2
5360-LJCNJ,Female,0,1,0,71,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),105.15,7555.0,0,10.777709842679647,Q2
8467-WYNSR,Male,0,0,0,22,1,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,0,Mailed check,55.1,1253.15,0,10.763786660048691,Q2
4186-ZBUEW,Female,0,0,0,36,1,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,1,Mailed check,70.7,2511.95,0,10.755051360413475,Q2
9498-FIMXL,Female,0,0,0,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.2,161.95,0,10.752646927152936,Q2
5709-LVOEQ,Female,0,1,1,0,1,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Mailed check,80.85,,0,10.75198485400168,Q2
0186-CAERR,Male,0,0,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),116.3,8309.55,0,10.723402971879807,Q2
2419-FSORS,Male,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,108.4,7719.5,0,10.720048817555579,Q2
7470-DYNOE,Male,0,0,0,53,1,No,DSL,No,No,Yes,No,No,Yes,One year,1,Electronic check,61.1,3357.9,0,10.71555247430331,Q2
