customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,risk_churn - per cent,risk_quartile
5150-ITWWB,Male,1,0,0,3,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.85,335.75,0,83.75773773736846,Q4
2545-EBUPK,Female,1,0,0,2,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.05,186.05,0,81.28469447127195,Q4
8161-QYMTT,Male,0,0,0,7,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.1,701.3,0,79.34558632295428,Q4
6350-XFYGW,Male,1,0,0,4,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.75,422.4,0,79.19787170248212,Q4
3320-VEOYC,Male,1,0,0,14,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.6,1273.3,0,79.07133208681654,Q4
4847-TAJYI,Female,1,0,0,6,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.35,567.8,0,78.93307495245043,Q4
6630-UJZMY,Female,1,1,0,4,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,83.25,308.05,0,78.76226984708222,Q4
0187-QSXOE,Male,1,1,0,7,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.0,605.45,0,78.44066824080438,Q4
4115-NZRKS,Female,1,0,0,7,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.15,574.35,0,78.21502339637166,Q4
7577-SWIFR,Male,0,0,0,1,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.25,89.25,0,78.06512764119306,Q4
7668-XCFYV,Female,1,1,0,17,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,92.55,1614.7,0,78.01169535590377,Q4
5935-FCCNB,Female,1,0,0,17,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.2,1608.15,0,77.90006792362945,Q4
7225-CBZPL,Male,1,1,0,17,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.8,1563.9,0,77.73062519998963,Q4
0021-IKXGC,Female,1,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,72.1,72.1,0,77.60396647310557,Q4
4912-PIGUY,Female,0,0,0,1,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,84.6,84.6,0,76.89526147339663,Q4
3318-NMQXL,Male,0,0,0,3,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,92.0,266.8,0,76.67554619041745,Q4
3452-GWUIN,Female,1,1,0,19,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.95,1760.25,0,76.5539787880552,Q4
3489-HHPFY,Female,0,1,0,2,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,84.05,134.05,0,76.1528186415048,Q4
1197-BVMVG,Female,1,0,0,4,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.45,294.45,0,75.58949295570864,Q4
6969-MVBAI,Female,1,0,0,9,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,90.1,816.8,0,75.46670756957579,Q4
4927-WWOOZ,Male,0,1,0,2,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,91.45,171.45,0,75.08198010218892,Q4
8739-XNIKG,Female,0,0,0,5,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,84.0,424.75,0,74.97439131462428,Q4
0916-QOFDP,Female,1,1,1,14,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.8,1346.3,0,74.68045249676084,Q4
9402-ORRAH,Female,1,0,0,15,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.5,1400.3,0,74.3866263351489,Q4
9290-SHCMB,Female,1,0,0,13,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,96.85,1235.55,0,74.30236802049185,Q4
6229-LSCKB,Male,1,0,0,6,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.7,497.6,0,74.13689013491391,Q4
2688-BHGOG,Male,1,0,0,9,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,79.55,718.55,0,74.12563599579379,Q4
7402-EYFXX,Male,1,0,0,26,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,93.6,2404.1,0,73.87543505168333,Q4
2077-MPJQO,Male,1,1,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.4,533.05,0,73.84995658750684,Q4
3096-GKWEB,Male,0,1,0,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.75,1691.9,0,73.8008493060855,Q4
1452-VOQCH,Male,0,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.1,75.1,0,73.79554621970514,Q4
9334-GWGOW,Male,1,1,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.85,485.25,0,73.74769395946726,Q4
7398-SKNQZ,Female,0,1,0,3,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.9,273.2,0,73.74613855772324,Q4
2789-HQBOU,Male,0,0,0,3,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,80.35,253.8,0,73.608091888958,Q4
1941-HOSAM,Male,0,1,1,1,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,90.1,90.1,0,73.45391436886375,Q4
4273-MBHYA,Female,0,0,1,1,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.35,89.35,0,73.45112790626136,Q4
9603-OAIHC,Male,1,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.05,70.05,0,73.30969404896858,Q4
5288-AHOUP,Male,1,0,0,11,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,78.5,874.2,0,73.18233582797703,Q4
9957-YODKZ,Male,1,1,0,6,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,80.8,457.1,0,73.18172694899283,Q4
6860-YRJZP,Male,1,0,0,9,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.05,678.45,0,73.14849604657786,Q4
8087-LGYHQ,Male,0,0,0,9,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.05,811.65,0,73.13962159305397,Q4
4929-XIHVW,Male,1,1,0,2,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,181.65,0,73.12524823068985,Q4
2215-ZAFGX,Male,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,85.5,791.7,0,73.00278626599773,Q4
9605-WGJVW,Female,1,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.2,70.2,0,72.97617748076479,Q4
7439-DKZTW,Male,0,0,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.55,80.55,0,72.91317357885104,Q4
5956-YHHRX,Male,1,0,0,21,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,104.35,2271.85,0,72.90062227829502,Q4
